name1,name2,accurate,callees_json_bin_total,callees_json_matched,callees_json_non_matched,callees_json_src_total,calls,conditions,constants_json_bin_total,constants_json_matched,constants_json_non_matched,constants_json_src_total,externals,globals,heuristic,loops,recursive,switchs,switchs_json
curl_multi_perform,fputc,0,0,0,5,5,5,5,0,0,0,0,0,0,0,4,0,0,1
check_noproxy,_curl_easy_setopt_err_string_116,0,0,0,4,4,4,12,0,0,2,2,2,0,0,3,0,0,1
memDlClose,dbpageUpdate,0,11,0,11,0,11,13,6,0,6,0,7,0,0,0,1,0,1
growOpArray,upperFunc,0,4,0,7,3,1,2,0,0,0,0,1,0,0,1,1,0,1
sqlite3FinishTrigger,unixFileSize,0,3,0,21,18,15,6,0,0,3,3,0,0,0,1,1,0,1
Curl_pp_getsock,_curl_easy_getinfo_err_long_121,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
prune_dead_connections,_curl_easy_setopt_err_debug_cb_21,0,0,0,4,4,4,1,0,0,0,0,0,0,0,1,0,0,1
exprSelectUsage,sqlite3_result_double,0,1,0,4,3,2,0,0,0,0,0,0,0,0,2,0,0,1
hookf,luaH_resizearray,0,1,0,8,7,6,1,0,0,5,5,5,1,0,0,1,0,1
getinfo_socket,multi_addtimeout,0,3,0,4,1,2,3,0,0,0,0,0,0,0,1,1,1,0
test_bind_null,sqlite3PcacheDrop,0,1,0,2,1,0,1,0,0,0,0,3,1,0,0,1,0,1
check_noproxy,_curl_easy_setopt_err_ssl_ctx_cb_7,0,0,0,4,4,4,12,0,0,2,2,2,0,0,3,0,0,1
luaL_requiref,deregister_tm_clones,0,0,0,11,11,11,0,1,0,1,0,1,0,0,0,1,0,1
luaD_rawrunprotected,__libc_csu_init,0,2,0,4,2,0,1,0,0,0,0,2,0,0,1,1,0,1
sqlite3VdbeChangeP5,sqlite3VdbeDeleteAuxData,0,1,0,1,0,1,8,0,0,0,0,0,0,0,1,1,0,1
sqlite3_mprintf_long,sqlite3Utf8Read,0,0,0,2,2,2,5,1,0,1,0,1,0,0,0,1,0,1
ReceivedServerConnect,_curl_easy_setopt_err_long_53,0,0,0,5,5,5,7,0,0,6,6,6,0,0,0,0,1,0
sqlite3SystemError,pthread_mutex_trylock,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1
